prenom,nom,Sexe,domicile,birthdate
Ada,Rebecka,F,Faisalabad,2010-04-24
Devina,Celestine,F,Zamboanga City,1960-10-01
Cassandra,Katrine,F,Tampa,2015-11-21
Cassondra,Margarete,F,Padang,1949-04-02
Nickie,Verger,M,Timbuktu,1994-12-02
Gwenneth,Tyson,M,Konya,1931-09-05
Kirbee,Rolf,F,Nice,1974-05-12
Angela,Magnolia,F,São Paulo,1931-05-10
Christal,Mott,F,Christchurch,1983-03-07
Sharai,Kenney,F,Saint John,1973-08-27
Aubrie,Sadowski,M,Tbilisi,1973-12-12
Jan,Curren,M,Dunedin,1944-03-25
Joane,Francene,M,Mamoudzou,2018-11-03
Norine,Maples,M,Nagoya,1961-04-06
Karina,Kiersten,M,Dubai,1953-09-09
Leontine,Bonucci,M,Rio Branco,1995-12-10
Vita,Toni,F,Norilsk,1974-11-26
Nita,Velick,F,Nuuk,1968-05-04
Jemie,Isidore,M,Bratsk,1941-01-13
Winny,Mike,M,Amritsar,2016-10-18
Luci,Daniele,F,Gaborone,1990-04-23
Felice,Quinn,M,Iqaluit,1954-02-22
Cherrita,Delila,M,Cayenne,2011-09-15
Bobinette,Jacqui,F,Washington,2010-01-26
Jorry,Felizio,M,Vancouver,1954-10-24
Beth,Carmena,F,Medina,1993-05-24
Odessa,Dudley,F,Naples,2011-05-25
Joeann,Kravits,M,St. Louis,2009-12-07
Jacenta,Chaing,M,Luxembourg (city),1974-05-16
Chere,Bethany,F,Gdańsk,1950-08-10
Damaris,Rebecka,M,Mendoza,2016-10-31
Minne,Wittie,F,Barcelona,1974-03-01
Sibella,Sophronia,M,Minneapolis,2018-09-05
Elfreda,Trace,M,Tampere,1992-08-30
Vita,Joli,M,Shanghai,1939-02-03
Nita,Saree,F,Berlin,1974-10-03
Myriam,Pelagias,F,Santiago de Cuba,2002-06-19
Christian,Reinke,M,Doha,1997-09-03
Lanae,Laurianne,F,Salzburg,1935-02-13
Carolina,Ivens,M,Qingdao,2011-01-16
Nyssa,Tatianas,F,Yakutsk,1950-01-16
Peri,Adrienne,F,Dili,1976-11-27
Sherrie,Alcott,M,Manaus,1966-04-22
Arabel,Joni,F,Strasbourg,1968-03-26
Dione,Weaks,F,Konya,1990-05-10
Jillayne,Alwin,M,Iloilo City,1982-08-14
Benita,Lilas,F,Manaus,1939-02-22
Paola,Cohdwell,M,Wonsan,1988-06-11
Modestia,Lamoree,M,Tunis,1960-03-22
Laure,Lanita,F,Buenos Aires,2018-07-28
Merrie,Suzetta,M,Weno,1994-04-16
Petronia,Ulphia,M,Sukhumi,2009-12-08
Ruthe,Sidonius,F,Invercargill,1941-03-07
Cindelyn,Oneida,F,Cannes,2010-06-19
Leontine,Allina,M,Whitehorse,1946-12-16
Annora,Tryck,F,Guayaquil,1957-01-03
Lacie,Keelia,F,Maceió,2006-12-13
Bernie,Morehouse,M,Campo Grande,1944-08-19
Jaime,Gavrila,M,Cannes,2004-11-12
Helsa,Old,M,Bangalore,1977-08-30
Aurore,Neva,M,Bratislava,1988-12-22
Nita,Bates,M,Baku,1973-04-07
Ekaterina,Blase,F,Buenos Aires,1945-09-13
Aryn,Vivle,F,Bergen,1947-07-01
Alia,Ashely,M,Multan,1993-10-15
Robbi,Vanni,M,Port Louis,1950-05-07
Inga,Ahab,M,New Orleans,1942-08-28
Kamilah,Wilona,M,South Tarawa,1943-11-07
Alisha,Weitman,M,Ibiza,1966-09-25
Coral,Alejoa,M,Recife,1978-04-15
Ebonee,Manolo,F,Los Angeles,1974-01-19
Roxane,Hubert,M,Luxembourg (city),1991-04-06
Evaleen,Chem,M,Medellín,1936-06-15
Roslyn,Cosenza,F,Yaoundé,1962-07-30
Zia,Remmer,M,Hamilton,1966-08-19
Ardenia,Brittani,M,Kraków,1984-12-27
Sindee,Abbot,M,Moroni,1939-09-05
Valera,Ade,F,Dakar,2017-12-26
Paule,Zachary,M,Santa Cruz de Tenerife,2009-03-19
Sheelagh,Stuart,M,Las Palmas de Gran Canaria,1965-03-19
Alejandra,Esmaria,M,Ouagadougou,2011-11-30
Zia,Cloris,M,Asmara,1998-07-15
Laure,Natalia,M,Roseau,2013-11-19
Ilse,Elbertina,M,Chişinău,1997-08-24
Veda,Gualtiero,F,Ciudad del Este,1973-09-05
Alia,Gilbertson,F,Rabat,1999-04-25
Nerta,Chauncey,M,Port Vila,1967-06-28
Katleen,Borrell,M,Saskatoon,1939-06-23
Lexine,Wooster,F,Chongqing,1948-06-24
Sandie,Garbe,M,Dededo,1943-01-02
Belinda,Johnsson,M,Port Elizabeth,1990-07-26
Joy,Morehouse,F,Blantyre,2018-08-25
Ayn,Garrison,F,Lomé,1997-06-07
Libbie,Eugenia,F,Porto Velho,1930-02-14
Mireielle,Vilma,F,Hargeisa,1969-05-10
Rosabelle,Goerke,F,Sukhumi,1939-03-06
Marinna,Fiester,M,Tegucigalpa,1975-07-30
Ezmeralda,Huggins,F,Manama,1965-02-22
Corene,Forrer,M,Shijiazhuang,1944-04-11
Merry,Darrell,F,Rio de Janeiro,1934-10-20
Olivette,Docilla,M,San Juan,2000-08-26
Rosanne,Pulsifer,F,Sydney,1975-11-22
Willetta,Wiener,F,Columbus,1981-07-11
Molli,Lorenz,F,Denver,1942-01-11
Shirlee,Kiersten,F,Palikir,1986-01-30
Shaine,Ricki,M,Luxor,2018-06-25
Edyth,Himelman,M,Chaguanas,2007-08-10
Elsie,Darian,F,Omsk,1947-04-20
Isa,Bakerman,M,Vilnius,1991-06-01
Kathi,Cullin,F,Lubumbashi,1969-12-06
Anica,Fillbert,M,Tamale,2015-03-06
Max,August,M,Iqaluit,1947-03-12
Rani,Rillings,M,Libreville,1958-01-26
Roxane,Jobi,M,Jamestown,2010-02-02
Ermengarde,Wittie,F,Harbin,1974-07-23
Sabina,Schalles,F,Alofi,1977-12-18
Carmencita,Wallis,M,Alexandria,1935-02-22
Sophia,Seagraves,F,Los Angeles,1953-06-23
Silvana,Darbie,F,Ponta Delgada,2016-02-17
Kittie,Podvin,M,Kingstown,2004-03-08
Kristan,Terrence,F,Nanning,1995-07-02
Fayre,Garrison,F,Denpasar,1958-12-28
Kerrin,Barney,F,Juneau,1957-07-12
Dorthy,Matthew,F,Linz,1971-11-21
Alex,Bartlett,M,St. John's,1970-11-08
Mellicent,Kirbee,F,Road Town,1956-01-22
Jasmina,Smitt,M,Iquique,1964-10-21
Pollyanna,Iiette,M,Perm,1972-09-07
Annecorinne,Verger,F,Pontianak,1932-03-07
Cordi,Connelly,M,Yamoussoukro,1979-06-20
Janis,Vins,M,Maracaibo,1978-11-06
Kamilah,Behre,M,Jakarta,1994-07-18
Rosabelle,Rebecka,M,Port Vila,2003-07-21
Viki,Rillings,M,Melekeok,1981-09-22
Margalo,Raimondo,M,Srinagar,1961-08-05
Oona,Lytton,F,Washington,1979-12-20
Jaime,Riva,M,Amritsar,1932-05-15
Renae,Hebner,M,Jerusalem,1975-03-18
Maye,Chesna,F,N'Djamena,1957-08-08
Nikki,Odell,M,Fukuoka,2009-11-30
Alyda,Connelly,F,Ürümqi,1947-12-02
Janenna,Cassius,F,Providence,1952-09-13
Myriam,Bennie,F,Wuhan,1933-08-15
Ardeen,Noelyn,M,Canberra,2001-12-22
Yetty,Koziara,M,Ponta Delgada,2003-11-26
Christy,Peonir,F,Zanzibar City,2001-02-22
Kathi,Lalitta,F,Belfast,1932-09-29
Britni,Winnick,M,Balikpapan,1977-05-26
Mireielle,Georas,M,Alofi,1955-08-04
Maurene,McCutcheon,M,Ponta Delgada,1964-09-06
Orsola,Lutero,F,Madrid,1932-01-22
Zsa Zsa,Blake,F,Maracaibo,1974-09-17
Corry,Eben,M,Kuwait City,2011-05-23
Sallie,Karylin,M,Medan,2009-06-22
Corly,Hessler,M,Houston,1995-05-05
Georgina,Revkah,M,City of San Marino,1958-03-07
Annice,Engdahl,F,Ludhiana,2004-07-11
Darlleen,Stephie,M,Munich,1989-11-17
Roseline,Trey,M,Chicago,2001-07-24
Evita,Armanda,M,Basse-Terre,1941-02-21
Nanete,Flyn,M,Ljubljana,1960-04-09
Lindie,Danby,F,Ndola,2009-09-23
Kassey,Douglass,F,Vaduz,1996-06-02
Christal,Elo,F,Edmonton,1952-11-23
Melanie,Anestassia,F,Naypyidaw,1960-09-12
Jsandye,Trey,M,Riga,1950-01-01
Arabel,Berl,M,Tskhinvali,1972-11-11
Dorothy,Diogenes,F,Mumbai,1963-10-07
Lizzie,Mullane,M,Tskhinvali,1935-11-02
Olivette,Scammon,F,Ulan Bator,1946-03-14
Hyacinthe,Alejoa,M,Mersin,1989-01-15
Selma,Bouchard,F,Davao City,2016-05-08
Philis,Destinee,M,Campinas,1966-12-25
Helena,Saree,F,Montevideo,2014-10-29
Melisent,Pearse,F,Nairobi,1998-03-03
Kaia,Louanna,F,Raleigh,2004-04-27
Meg,Dominy,F,Jaipur,2005-08-31
Carly,Harriman,F,Kanpur,1991-04-20
Dagmar,Melan,F,Mérida,2005-11-02
Nikki,Jeanne,M,Denver,1959-03-20
Dianemarie,Raffo,M,Nanning,1936-05-25
Lucy,Clywd,F,Tashkent,1993-06-15
Jaclyn,Natalia,M,Johor Bahru,1976-04-04
Tracey,Telfer,F,Lilongwe,2004-05-25
Agathe,Aldric,M,Malé,1944-07-26
Lily,Norrie,F,Indianapolis,1988-04-24
Penelopa,Crudden,F,Austin,2010-09-20
Constance,Wu,M,Chişinău,2006-05-27
Sandie,Darbie,M,Incheon,1955-06-16
Amara,Diogenes,M,Saipan,1983-01-12
Mildrid,Sparhawk,M,Mwanza,1960-11-12
Meriel,Morehouse,M,Kingstown,1954-10-15
Frances,Etom,M,El Aaiún,1938-05-01
Mady,Stephie,F,Kuwait City,1994-09-02
Elfreda,Amethist,M,Paramaribo,1974-06-15
Theodora,Allys,M,Taiyuan,1991-06-07
Shandie,Sandye,F,Kandy,1940-09-03
Lindie,Ralfston,M,Ilhéus,2003-03-15
Elka,Amand,M,São José dos Campos,1934-04-29
Frances,Howlyn,M,Kyoto,2004-05-24
Vanessa,Velick,F,Nakhon Ratchasima,1941-02-27
Orsola,Sammons,M,Reykjavík,1950-01-04
Rubie,Hunfredo,M,Kuwait City,1941-07-12
Hope,Lorain,F,San Salvador,2010-11-22
Kelly,Lia,F,Montevideo,1963-03-16
Tina,Teddman,M,Rochester,1976-06-30
Tarra,Delila,F,Honolulu,1973-07-24
Nanete,Alrich,F,Jayapura,2017-10-01
Kimmy,Eldrid,F,Luxor,2010-07-20
Misha,Tjon,M,Nicosia,1957-09-09
Maryellen,Susannah,F,Xi'an,2013-05-31
Sean,Stuart,F,Recife,2016-02-10
Marylou,Letsou,F,San Diego,1987-05-10
Winifred,Pitt,M,Tucson,1937-02-19
Eolanda,Raama,M,Hilo,1956-10-13
Esmeralda,Sekofski,F,Mogadishu,1949-08-08
Minda,Vary,F,Hagåtña,1969-11-24
Andree,Raffo,M,Athens,1999-01-23
Caressa,Myrilla,M,Cannes,1933-08-19
Jsandye,Lamoree,F,Bloemfontein,1974-02-04
Viviene,Kannry,F,Nukus,1981-03-08
Lonnie,Denis,M,Tashkent,1982-11-09
Audrie,Taam,M,Malé,2002-08-02
Merci,Fennessy,M,Malabo,1935-05-21
Calla,Shaver,F,Santiago de Cuba,2001-01-11
Winny,Brandice,M,Pittsburgh,2016-10-16
Dari,Arley,M,Washington,1974-10-23
Shandie,Alva,F,Denpasar,2019-01-18
Elka,Parette,M,Abidjan,2007-09-19
Amara,Wilkinson,F,Tirana,1946-10-27
Heida,Guthrie,F,Innsbruck,1960-01-13
Bettine,Gavrila,M,Chişinău,1935-12-27
Aubrie,Malvino,M,Yangon,1986-12-14
Mignon,Barrus,M,Almaty,1945-04-06
Nelle,Wandie,F,Salzburg,1969-06-01
Addia,Narton,M,Dhaka,1966-09-02
Darlleen,Elo,M,Shillong,1944-03-08
Valli,Lasley,M,Seoul,2003-08-24
Sissy,Wyn,M,Medan,1976-09-25
Rivalee,Lubin,F,Konya,1931-08-17
Ruthe,Tamar,F,Da Nang,1972-09-10
Hildegaard,Melan,F,Lisbon,1932-01-29
Alexine,Holtz,M,Split (city),2006-12-13
Vivia,Quinn,F,Moscow,1968-01-29
Ileana,Dreda,M,Milwaukee,1950-12-27
Rosanne,Bendick,F,Tórshavn,1997-12-12
Blake,Gavrila,F,Salt Lake City,1982-10-14
Thalia,Cath,M,Wichita,2001-05-25
Janey,Hilbert,M,Marseille,2016-09-08
Jessamyn,Eugenia,M,Albuquerque,1958-11-03
Nanete,Remmer,M,Enugu,1942-01-22
Philis,Adamsen,F,Copenhagen,1987-08-08
Marleah,Mehalek,M,Timbuktu,1961-06-04
Concettina,Daniele,F,South Tarawa,2019-11-13
Pamella,Janith,F,Cairo,1963-12-28
Edee,Elbertina,M,Abu Dhabi,1976-10-19
Sophia,Clywd,M,Port Louis,2001-08-17
Winifred,Capello,F,Malé,1985-03-02
Darci,Brian,M,Valencia,2015-10-29
Miquela,Haldas,F,Kraków,1960-04-12
Mureil,Madox,F,Bandar Seri Begawan,1983-07-26
Meriel,Lytton,M,La Serena,1940-12-29
Adore,Tarrant,F,Belmopan,1994-09-03
Randa,Hortensia,F,Ludhiana,2009-03-06
Linet,Gaspard,M,Assis,1937-09-10
Shaylyn,Aida,M,Marseille,2001-01-24
Halette,Bandeen,M,Ipoh,1947-12-24
Meg,Emerson,F,Nukuʻalofa,1980-08-13
Elmira,Mauer,M,Bamako,2016-10-03
Anallese,Rudolph,F,Zagreb,1988-12-05
Eolanda,Travax,F,Siem Reap,1953-05-20
Letizia,Zenas,M,Valparaíso,2011-07-05
Trixi,Amadas,F,Gaza,2006-05-11
Trixi,Emanuel,M,Udon Thani,1996-03-04
Marita,Mozelle,F,Bridgetown,2017-11-08
Betta,Trace,M,Tampere,2012-04-30
Carmencita,Greenwald,M,Iqaluit,1973-07-20
Tabbatha,Moina,F,Willemstad,2008-01-22
Grier,Berriman,M,Riverside,2005-10-21
Marjie,Jethro,M,Oklahoma City,2019-03-16
Lelah,Demitria,M,Sana'a,2005-05-10
Kial,Melony,M,Patna,1973-08-20
Noelle,Prober,M,Porto Velho,1984-08-04
Tina,Hepsibah,M,Phnom Penh,2011-10-17
Trudie,Curren,F,Belém,1992-09-20
Selia,Wenoa,M,Bandar Seri Begawan,1978-03-16
Hyacinthe,Erskine,M,Sarajevo,2006-12-29
Stevana,Monaco,F,Pago Pago,1973-05-12
Cristine,Dominy,F,Ndola,1966-04-02
Kathi,Lia,F,Saint-Denis,2014-10-30
Lila,Pelagias,M,Tucson,1975-12-04
Hollie,Lory,M,Aarhus,2016-07-09
Ethel,Natalia,M,Konya,1937-10-24
Elie,Laverne,M,Algiers,1939-09-17
Hettie,Cottle,M,Denpasar,2019-11-24
Fanny,Isidore,F,Cartagena,1976-05-04
Audrie,Yoko,F,Mérida,2009-04-01
Barbara,Malina,M,Indianapolis,1961-04-11
Helena,Bonilla,F,Bangkok,1983-01-15
Quintina,Forrer,M,Jacksonville,1959-11-24
Olivette,Boycey,F,Buenos Aires,1977-12-22
Elbertina,Jerald,F,Frankfurt,1975-09-23
Pierette,Deny,M,Chihuahua,1999-12-05
Brena,Ajay,F,Iloilo City,1942-12-22
Lilith,Bluh,M,Abidjan,2012-01-24
Alia,Norvol,F,Almaty,1994-01-03
Cam,Matthew,M,Bangalore,1939-01-21
Rosaline,Louanna,F,Handan,2008-01-04
Lenna,Cherianne,M,Asunción,1935-04-26
Dorothy,Cohdwell,M,Omdurman,1974-03-30
Sarette,Vittoria,F,Darwin,1955-02-14
Nananne,Wattenberg,F,Pontianak,1971-01-19
Nariko,Peg,F,Brussels,1960-03-06
Clo,Tamar,M,Horta (Azores),1969-01-12
Leeanne,Cornelia,M,Patna,1955-02-01
Miquela,LaRue,F,Lima,1965-07-27
Sheree,Tice,F,Bursa,1999-01-17
Gaylene,Abbot,M,Rotterdam,1943-07-28
Demetris,Pandolfi,M,Baghdad,1992-02-03
Rochette,Talia,M,Cuiabá,1961-01-05
Minda,Pettiford,M,Jinan,2008-01-07
Beth,Fry,M,Horta (Azores),2003-06-05
Dianemarie,Ursulette,F,Porto Velho,1992-09-26
Maurene,Fontana,F,Tegucigalpa,1952-03-06
Jennica,Baptlsta,F,Norilsk,1960-03-20
Alejandra,Shields,M,Birkirkara,2006-02-22
Renae,Iiette,F,Stuttgart,1990-02-23
Alisha,Telfer,F,Ulan Bator,2016-03-02
Roxane,Delila,F,Split (city),2007-03-09
Yetty,Dannye,M,Koror,1993-05-28
Yvonne,Scammon,F,Honiara,1964-09-30
Lory,Janith,M,Incheon,1958-12-14
Jere,Vittoria,M,Tbilisi,1952-09-11
Kayla,Nea,F,Thimphu,1951-11-09
Oona,Maisey,M,Jaipur,1983-03-14
Sidoney,Tengdin,M,Lyon,1992-03-15
Christal,Elbertina,M,Pretoria,1992-11-26
Valera,Ax,F,Adana,1986-09-28
Debee,Tippets,M,Oslo,1959-08-26
Katleen,Goddard,F,Mérida,1957-01-14
Gloria,Charmine,F,Samara,1993-08-06
Mamie,Israeli,F,Munich,1958-04-06
Collen,Maurine,M,Mamoudzou,1991-05-23
Mignon,Rocray,F,Hat Yai,1958-10-18
Gerrie,Tillford,M,Campinas,1942-09-25
Talya,Maribeth,F,Baghdad,1964-01-20
Ulrike,Tamar,M,Saint Petersburg,2009-04-09
Karena,Susannah,F,Batticaloa,2011-04-12
Yolane,Goddard,M,Udon Thani,2006-06-03
Jordan,Cynar,F,Bulawayo,1988-12-22
Loree,Justinn,M,Pattaya,1976-06-11
Shandie,Calhoun,F,Surat Thani,1984-12-13
Tressa,Daveta,F,Tucson,1936-12-30
Phylis,Wu,F,Roseau,1945-07-13
Codie,Remmer,F,Roseau,2007-04-10
Janis,Ogren,F,Dalian,1996-07-05
Dotty,Gordon,F,Birkirkara,1994-02-11
Agnese,Berne,F,Lahore,1950-05-26
Alisha,Kelula,M,Kingston,1955-02-08
Addia,Zuzana,F,Cape Town,1949-10-20
Lizzie,Morgun,M,Lanzhou,1998-06-12
Sheelagh,Rebecka,F,Zapopan,2007-08-19
Debee,McCutcheon,F,Townsville,1942-10-08
Marcelline,Mata,F,Edmonton,1976-01-09
Bee,Lucienne,F,Boa Vista,2013-10-26
Lila,Kauppi,F,Brisbane,1955-04-22
Lory,Kamaria,M,Apia,2010-10-19
Katharina,Margret,F,Road Town,1982-04-16
Concettina,Fiann,M,Doha,2007-08-17
Kayla,Bettine,F,Medan,1967-03-25
Cristabel,Jefferey,F,Chişinău,1943-09-29
Edith,Lamoree,F,Libreville,1942-10-01
Mara,Abbot,F,Maputo,1982-03-25
Annice,Nikaniki,M,Washington,1958-03-04
Ottilie,Brandice,F,Palikir,1981-09-12
Consuela,Arquit,F,Dar es Salaam,2004-11-16
Veda,Kenney,M,Helsinki,1947-11-17
Liana,Trace,M,Pontianak,2007-04-29
Janey,Roarke,M,Hanga Roa,2016-04-24
Olwen,Ulphia,M,Majuro,1952-04-23
Korrie,Daveta,F,Sitka,1935-01-11
Rozele,Daveta,F,Dallas,1955-11-14
Miquela,Hedve,M,Muscat,2001-03-02
Roslyn,Gaspard,F,Luanda,1972-12-22
Dorthy,Afton,F,Shanghai,2008-10-02
Darlleen,Telfer,F,Tampa,1999-07-05
Lynea,Colyer,F,Stanley,1991-07-28
Catharine,Kesley,M,Durango,1939-11-05
Judy,Shirberg,M,Taiyuan,1990-06-05
Sonni,Ambrosia,M,Nouakchott,1946-04-22
Danny,Bonucci,M,Taiyuan,1988-04-15
Cyb,Sholley,M,Calgary,1999-03-16
Ginnie,Cassius,F,Chengdu,1989-02-08
Basia,Maples,M,Dibrugarh,1941-09-04
Latisha,Alejoa,M,Antofagasta,1970-10-20
Charissa,Taam,F,Pyongyang,2011-04-19
Elora,Gilmour,F,Kunming,1967-06-07
Selia,Revkah,M,Kathmandu,1960-12-07
Rebeca,Edee,M,Cape Town,2000-03-24
Gertrud,Chauncey,F,Medina,1967-04-23
Deedee,Duwalt,F,Koror,2010-06-19
Dede,Garbe,M,Hargeisa,1995-08-29
Rhoda,Millda,F,Durango,1966-06-04
Arabel,Plato,M,Rockhampton,1931-06-28
Merrie,Santoro,M,Kobe,1977-04-15
Flory,Azeria,M,Ankara,1937-09-16
Kathi,Ammann,M,Pelotas,1979-12-01
Judy,Kermit,F,Konya,1946-10-15
Sue,Georgy,M,Oklahoma City,1934-01-13
Selia,Publia,F,Dushanbe,1938-03-23
Aurore,Delp,M,Antwerp,1939-02-02
Orelia,Raseda,M,Tirana,1972-02-13
Shell,Thomasina,F,Pelotas,1959-12-10
Bobbi,Muriel,F,Toulouse,1950-07-31
Kirstin,Karna,M,Barcelona,1980-07-16
Fayre,Selway,F,Charlotte Amalie,1959-04-01
Giustina,Behre,M,Paris,1956-11-07
Andree,Old,F,Sabha,1984-04-29
Teddie,Land,F,Ibadan,1945-04-07
Doralynne,Saunderson,F,Hargeisa,1988-09-03
Carree,Nerita,M,Berlin,1942-06-23
Brynna,Seumas,M,Abu Dhabi,1930-08-10
Dotty,Poll,F,Asmara,1963-06-09
Babita,Guthrie,F,Asunción,2005-01-05
Elfreda,Weinreb,F,Mogadishu,2009-11-12
Tierney,Lorain,M,Murmansk,1952-05-21
Margalo,Campball,F,Sacramento,2016-03-07
Jacquetta,Nahum,M,Taipei,1933-12-18
Dale,Christal,M,Ushuaia,2011-04-08
Genevra,Blake,M,Kunming,2006-10-08
Katharina,Artie,F,Buffalo,2001-02-27
Donnie,Rosalba,M,Hanoi,1936-05-30
Ebonee,Ochs,F,Bujumbura,1969-07-17
Wilma,Poppy,M,Chicago,1989-04-30
Betta,Vharat,F,Nagpur,1998-09-03
Cherilyn,Gahl,M,Damascus,2003-09-22
Tami,My,F,Kandy,1981-06-04
Madalyn,Ralfston,M,Fairbanks,1970-11-15
Priscilla,Odell,F,Marrakech,1980-03-24
Livvyy,Willie,M,Mecca,1970-10-12
Shauna,Gusella,F,Puebla,2008-04-14
Moyna,Lymann,M,Budapest,1947-12-06
Aeriela,Ajay,M,Strasbourg,1933-06-14
Darlleen,Merriott,M,Jerusalem,1954-09-27
Joane,Colbert,M,Glasgow,2019-02-25
Tonia,Xerxes,M,Timbuktu,1940-04-28
Rebeca,Chabot,M,Mexico City,1988-08-20
Gale,Geffner,M,Düsseldorf,2016-08-17
Joeann,Ammann,M,Tegucigalpa,1978-05-22
Lily,Othilia,F,Gdańsk,1985-11-04
Phedra,Aaberg,F,Agartala,1974-05-08
Clarice,Hartnett,F,Rio de Janeiro,2019-01-25
Sandie,Raama,F,Taipei,2001-04-05
Ellette,Nance,F,Jeddah,1972-09-28
Pamella,Odysseus,M,Lucknow,1982-09-12
Brynna,Sigfrid,M,Sana'a,1974-08-21
Thalia,Bashemeth,M,Newcastle,1947-04-24
Farrah,Roarke,F,Balikpapan,1945-12-07
Sindee,Hartnett,M,Rabi Island,1947-04-06
Flory,Ovid,M,Nizhny Novgorod,1944-09-26
Carlie,Bebe,M,Chongqing,1947-08-26
Rosene,Rheingold,F,Fortaleza,1958-11-08
Maryellen,Gualtiero,M,Iquique,2005-10-04
Magdalena,O'Carroll,F,Lviv,1956-09-04
Lacie,Frodi,M,Bilbao,1932-06-13
Micheline,Marden,F,Damascus,1933-09-18
Courtnay,Lay,F,Port Moresby,1975-02-05
Elora,Milde,F,Austin,1959-07-10
Micheline,Tomasina,F,Jacksonville,1950-05-26
Fawne,Jerold,F,Damascus,1936-05-25
Zondra,Abbot,F,Perth,1941-01-21
Deedee,Brady,M,Charlotte Amalie,1952-04-13
Moyna,Lasley,M,Simferopol,2003-06-10
Ida,Rhu,F,Quebec City,2019-02-16
Merci,Sprage,M,Yaren District,1956-10-03
Eadie,Lia,M,Koror,1952-06-16
Meriel,Giff,F,Maracaibo,1937-11-01
Correy,Bonucci,M,Nantes,1985-06-05
Yetty,Fry,M,Rabi Island,1948-08-26
Lenna,Latini,F,Port Said,1970-05-09
Sarette,Newell,M,Gibraltar,1984-11-17
Codie,Daegal,M,San José,1977-12-15
Kara-Lynn,Dash,M,Nassau,1936-04-22
Felice,Rillings,M,Mersin,1935-12-04
Concettina,Haymes,F,Thessaloniki,1979-11-01
Jacquetta,Ashok,F,San Juan,1977-12-02
